cycle,timestamp,final_decision,decision_source,confidence,ai_level,ai_error,rule_level
1,2025-10-22 18:37:42.670548,CRITICAL,IA_DOMINANT,HIGH,CRITICAL,,NORMAL
2,2025-10-22 18:37:59.950548,CRITICAL,IA_DOMINANT,HIGH,CRITICAL,,NORMAL
3,2025-10-22 18:38:17.230548,CRITICAL,IA_DOMINANT,HIGH,CRITICAL,,NORMAL
4,2025-10-22 18:38:34.510548,CRITICAL,IA_DOMINANT,HIGH,CRITICAL,,NORMAL
5,2025-10-22 18:38:51.790548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
6,2025-10-22 18:38:51.790548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
7,2025-10-22 18:39:09.070548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
8,2025-10-22 18:39:26.350548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
9,2025-10-22 18:39:43.630548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
10,2025-10-22 18:40:00.910548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
11,2025-10-22 18:40:18.190548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
12,2025-10-22 18:40:35.470548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
13,2025-10-22 18:40:52.750548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
14,2025-10-22 18:41:10.030548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
15,2025-10-22 18:41:27.310548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
16,2025-10-22 18:41:44.590548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
17,2025-10-22 18:42:01.870548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
18,2025-10-22 18:42:19.150548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
19,2025-10-22 18:42:36.430548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
20,2025-10-22 18:42:53.710548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
21,2025-10-22 18:43:10.990548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
22,2025-10-22 18:43:28.270548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
23,2025-10-22 18:43:45.550548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
24,2025-10-22 18:44:02.830548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
25,2025-10-22 18:44:20.110548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
26,2025-10-22 18:44:37.390548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
27,2025-10-22 18:44:54.670548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
28,2025-10-22 18:44:54.670548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
29,2025-10-22 18:45:11.950548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
30,2025-10-22 18:45:11.950548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
31,2025-10-22 18:45:29.230548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
32,2025-10-22 18:45:46.510548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
33,2025-10-22 18:46:03.790548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
34,2025-10-22 18:46:21.070548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
35,2025-10-22 18:46:38.350548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
36,2025-10-22 18:46:38.350548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
37,2025-10-22 18:46:55.630548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
38,2025-10-22 18:47:12.910548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
39,2025-10-22 18:47:30.190548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
40,2025-10-22 18:47:47.470548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
41,2025-10-22 18:48:04.750548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
42,2025-10-22 18:48:04.750548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
43,2025-10-22 18:48:22.030548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
44,2025-10-22 18:48:39.310548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
45,2025-10-22 18:48:56.590548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
46,2025-10-22 18:49:13.870548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
47,2025-10-22 18:49:31.150548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
48,2025-10-22 18:49:48.430548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
49,2025-10-22 18:49:48.430548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
50,2025-10-22 18:50:05.710548,CRITICAL,FUSION,HIGH,CRITICAL,,WARNING
